snr_db_target,snr_db_achieved,qc_ok,qc_reasons,n_beats_reference,n_peaks_found,abs_err_ci_lo_s,abs_err_ci_hi_s,n_beats,n_predictions,detection_rate,precision,f1,mean_abs_error_s,median_abs_error_s,bias_s,scatter_s,success_within_30ms,success_within_30ms_debiased,success_within_70ms,success_within_70ms_debiased
-10.0,-10.0,False,abp_out_of_physiologic_range,940,1730,0.06406544256120528,0.07058645244821093,940,1729,0.7531914893617021,0.40948525159051474,0.5305357811914575,0.06730225988700565,0.058333333333333334,0.008968926553672317,0.07983099286074744,0.25,0.2528248587570621,0.5621468926553672,0.5621468926553672
-8.0,-8.0,False,abp_out_of_physiologic_range,940,1735,0.060947203196347034,0.06705593607305936,940,1734,0.776595744680851,0.4209919261822376,0.5459985041136873,0.06396118721461187,0.058333333333333334,0.012089041095890412,0.07579030884559074,0.26438356164383564,0.30273972602739724,0.5958904109589042,0.5657534246575342
-6.0,-6.0,False,abp_out_of_physiologic_range,940,1756,0.05845269097222222,0.0644113498263889,940,1755,0.8170212765957446,0.4376068376068376,0.5699443413729128,0.06161024305555555,0.058333333333333334,0.010134548611111112,0.07373923421676518,0.28125,0.2825520833333333,0.62109375,0.6145833333333334
-4.0,-4.0,False,abp_out_of_physiologic_range,940,1756,0.05634408602150538,0.06254838709677418,940,1755,0.824468085106383,0.4415954415954416,0.575139146567718,0.059365591397849464,0.05,0.01024731182795699,0.07172173267021772,0.3058064516129032,0.3006451612903226,0.6438709677419355,0.6374193548387097
-2.0,-2.0,False,abp_out_of_physiologic_range,940,1766,0.05477628285356696,0.06023153942428035,940,1765,0.85,0.4526912181303116,0.5907578558225508,0.05735294117647059,0.05,0.0073112223612849395,0.07010703369562643,0.32290362953692114,0.3166458072590738,0.6608260325406758,0.6583229036295369
0.0,0.0,False,abp_out_of_physiologic_range,940,1773,0.052225796568627456,0.05748774509803921,940,1772,0.8680851063829788,0.4604966139954853,0.6017699115044248,0.05500408496732027,0.05,0.0033700980392156856,0.06776599738931788,0.3382352941176471,0.3713235294117647,0.6764705882352942,0.6495098039215687
2.0,2.0,False,abp_out_of_physiologic_range,940,1772,0.05170787823624596,0.05707928802588996,940,1771,0.8765957446808511,0.4652738565782044,0.6078937661379564,0.05443972491909385,0.041666666666666664,-0.002133899676375405,0.06753266024115855,0.3446601941747573,0.3446601941747573,0.6747572815533981,0.6747572815533981
4.0,4.0,False,abp_out_of_physiologic_range,940,1761,0.05039461678832117,0.05564730332522303,940,1760,0.874468085106383,0.46704545454545454,0.6088888888888889,0.052909570154095704,0.041666666666666664,-0.007512165450121653,0.06560966233707961,0.3613138686131387,0.3759124087591241,0.6824817518248175,0.6824817518248175
6.0,6.0,True,,940,1741,0.047764227642276426,0.052969004065040654,940,1740,0.8723404255319149,0.47126436781609193,0.6119402985074627,0.05031504065040651,0.041666666666666664,-0.009217479674796749,0.06316902729046975,0.3975609756097561,0.4060975609756098,0.7036585365853658,0.7048780487804878
8.0,8.0,True,,940,1695,0.04603000621890548,0.05148243159203981,940,1694,0.8553191489361702,0.47461629279811096,0.6104783599088838,0.048642205638474295,0.03333333333333333,-0.011370232172470978,0.061402204135916405,0.4253731343283582,0.43283582089552236,0.7126865671641791,0.7213930348258707
